AirportCode	CityName	WorldAreaCode
BEL	"BELEM                        "	316
BEM	"BOSSEMBELE CEN. AFRICAN REPUBLIC  "	509
BEN	"BENGHAZI LIBYA                    "	538
BEO	"NEWCASTLE  A               "	802
BEP	"BELLARY                      "	733
BEQ	"BURY ST. EDMUNDS        "	493
BER	"BERLIN                      "	429
BES	"BREST                         "	427
BET	"BETHEL                    "	1
BEU	"BEDOURIE            "	802
BEV	"BEERSHEBA                    "	636
BEW	"BEIRA                  "	550
BEY	"BEIRUT                      "	647
BEZ	"BERU        "	824
BFB	"BLUE FOX BAY              "	1
BFC	"BLOOMFIELD          "	802
BFD	"BRADFORD            "	23
BFE	"BIELEFELD        "	429
BFF	"SCOTTSBLUFF             "	65
BFG	"BULLFROG BASIN UTAH            "	87
BFI	"SEATTLE               "	93
BFJ	"BA                            "	821
BFK	"DENVER                  "	82
BFL	"BAKERSFIELD           "	91
BFM	"MOBILE                  "	51
BFN	"BLOEMFONTEIN           "	562
BFO	"BUFFALO RANGE ZIMBABWE            "	565
BFP	"TRENTON               "	23
BFR	"BEDFORD NA                "	42
BFS	"BELFAST N. IRELAND (U.K.)        "	493
BFT	"BEAUFORT SOUTH CAROLINA        "	37
BFU	"BENGBU               "	713
BFX	"BAFOUSSAM CAMEROON                "	504
BGA	"BUCARAMANGA               "	327
BGB	"BOOUE                         "	526
BGC	"BRAGANCA PORTUGAL                 "	469
BGD	"BORGER                     "	74
BGE	"BAINBRIDGE               "	34
BGF	"BANGUI CEN. AFRICAN EMPIRE        "	509
BGG	"BONGOUANOU            "	533
BGH	"BOGHE                   "	545
BGI	"BARBADOS BARBADOS                 "	205
BGJ	"BORGARFJORDUR              "	439
BGK	"BIG CREEK BELIZE                  "	106
BGL	"BAGLUNG                      "	755
BGM	"BINGHAMTON NEW YORK            "	22
BGN	"BRUEGGEN                    "	429
BGO	"BERGEN                       "	465
BGP	"BONGO                         "	526
BGQ	"BIG LAKE                  "	1
BGR	"BANGOR MAINE                   "	12
BGS	"BIG SPRING                 "	74
BGT	"BAGDAD                  "	81
BGU	"BANGASSOU CEN. AFRICAN EMPIRE     "	509
BGV	"BENTO GONCALVES              "	316
BGW	"BAGHDAD IRAQ                      "	634
BGX	"BAGE                         "	316
BGY	"BERGAMO                       "	450
BGZ	"BRAGA PORTUGAL                    "	469
BHA	"BAHIA                      "	337
BHB	"BAR HARBOR MAINE               "	12
BHC	"BHURBAN                    "	764
BHD	"BELFAST N. IRELAND-HARBOUR U.K.  "	493
BHE	"BLENHEIM NEW ZEALAND              "	851
BHF	"BAHIA CUPICA              "	327
BHG	"BRUS LAGUNA HONDURAS              "	131
BHH	"BISHA                 "	670
BHI	"BAHIA BLANCA              "	303
BHJ	"BHUJ                         "	733
BHK	"BUKHARA UZBEKISTAN                "	788
BHL	"BAHIA DE LOS ANGELES MEX.         "	148
BHM	"BIRMINGHAM              "	51
BHN	"BEIHAN                        "	694
BHO	"BHOPAL                       "	733
BHP	"BHOJPUR                      "	755
BHQ	"BROKEN HILL        "	802
BHR	"BHARATPUR                    "	755
BHS	"BATHURST           "	802
BHT	"BRIGHTON DOWNS Q.         "	802
BHU	"BHAVNAGAR                    "	733
BHV	"BAHAWALPUR                 "	764
BHX	"BIRMINGHAM         "	493
BHY	"BEIHAI               "	713
BHZ	"BELO HORIZONTE               "	316
BIA	"BASTIA CORSICA               "	427
BIB	"BAIDOA SOMALIA                    "	573
BIC	"BIG CREEK                 "	1
BID	"BLOCK ISLAND RHODE ISLAND      "	15
BIE	"BEATRICE                "	65
BIF	"EL PASO                    "	74
BIG	"BIG DELTA                 "	1
BIH	"BISHOP                "	91
